name_nom,description_en,description_fr
date,date of observation in ISO standard format (YYYY-MM-DD),date de l’observation en format standard ISO (AAAA-MM-JJ)
site,site where observations occurred,site où les observations ont été effectuées
engSiteName_nomSiteAng,commonly used english name of site,nom du site couramment utilisé en anglais
shore_côte,shoreline observation was collected 'South shore' or 'Eastern shore',côte où l’observation a été effectuée («South shore» [«côte sud»] ou «Eastern shore» [«côte est»])
latitude,latitude of sample site in decimal degrees (WGS84),latitude du site d’échantillonnage en degrés décimaux (WGS84)
longitude,longitude of sample site in decimal degrees (WGS84),longitude du site d’échantillonnage en degrés décimaux (WGS84)
habitat,"type of habitat sampled, ' Bare' or 'SG' for seagrass ",type d’habitat échantillonné («Bare» [«nu»] ou «SG» [seagrass] pour les herbiers) 
gear_équipement,"gear used to collect transect observations 'S' = snorkel, 'T' = trawl","équipement utilisé pour effectuer les observations dans les transects («S» = tuba [snorkel], «T» = chalut [trawl])"
transect,transect identification number,numéro d’identification du transect
area_m2,area covered by transect,superficie couverte par le transect
species_espèce,scientific name of observed species,nom scientifique de l’espèce observée
engCommonName_nomCommunAng,commonly used english name of observed species,nom commun anglais de l’espèce observée
rawAbundance_abondanceBrute,raw abundance from observations,abondance brute selon les observations
YOYequivalentAbundance_abondanceÉquivalenteJDA,"calculated young of year equivalent abundance, not calibrated for the gear used or day/night differences","abondance calculée de l’équivalent de jeunes de l’année, non étalonnée en fonction de l’équipement utilisé ou des différences jour/nuit"
calibratedDensity_densitéCalibrée_m^-2,calculated density calibrated for sampling gear and day/night differences in individuals/m^2,densité calculée et étalonnée en fonction de l’équipement d’échantillonnage et des différences jour/nuit chez les individus/m2
